resonator_id,sensor_id,Design_Freq [GHz],Resonator_Width,Design_Q,Coupler_Zone,Through_Line_Width,Through_Line_Impedance,Resonator_Impedance,Coupler_Length,Aux_Coupler_Length,Resonator_Eeff,Through_Line_Eeff,Resonator_Length,Meander_Pitch,Meander_Zone,Meander_Length,Through_Line_Length,Through_Line_Metal_Area,Resonator_Metal_Area,Resonator_Patch_Area,Turn_Extension,Rungs,Sensor_Pillar_Area,Coupler_Phase_Change [rad], Max_Current_Length
1, 1, 0.7, 2.0, 600000.0, 4000.0, 395.0, 51.2646322, 78.4335348, 4000.0, 80.9066510986, 4.0067732, 7.26763880001, 99235.2024299, 400.0, 11604.0, 3218.0, 33146.5926536, 13092852.2789, 198470.413549, 37341672.0, 0.0, 8.0, 2450143.00395, 0.454771998654, 45746.102
2, 2, 0.7, 4.0, 600000.0, 4000.0, 395.0, 51.2662686, 61.6228064, 4000.0, 89.8043393272, 3.60877767, 7.26810838001, 105129.615827, 300.0, 11908.0, 2436.0, 33146.5926536, 13092852.2789, 420518.065503, 29007888.0, 0.0, 8.0, 2551641.63977, 0.423256471188, 48768.107
3, 3, 0.7, 8.0, 600000.0, 4000.0, 395.0, 51.2663971, 45.6375047, 4000.0, 102.422075378, 3.11707476, 7.26814669001, 113851.182221, 300.0, 11916.0, 2780.0, 33146.5926536, 13092852.2789, 910808.269969, 33126480.0, 0.0, 9.0, 2657748.14564, 0.38527240182, 53207.011
4, 4, 0.7, 16.0, 600000.0, 4000.0, 395.0, 51.2663751, 31.5852207, 4000.0, 120.984489379, 2.590019, 7.26814790001, 125788.13272, 300.0, 11932.0, 3176.0, 33146.5926536, 13092852.2789, 2012607.09543, 37896032.0, 0.0, 10.0, 2821181.98058, 0.343296074167, 59259.102
5, 5, 0.7, 32.0, 600000.0, 4000.0, 395.0, 51.2663306, 20.407557, 4000.0, 146.693189719, 2.10964846, 7.26814329001, 140350.528497, 300.0, 11964.0, 3684.0, 33146.5926536, 13092852.2789, 4491209.54432, 44075376.0, 0.0, 11.0, 2984615.81552, 0.301737742757, 66635.231
6, 6, 0.7, 64.0, 600000.0, 4000.0, 395.0, 51.266291, 12.372514, 4000.0, 180.102293274, 1.73077079, 7.26813643001, 155906.232366, 300.0, 11628.0, 4796.0, 33146.5926536, 13092852.2789, 9977979.307, 55767888.0, 0.0, 13.0, 3187899.19622, 0.264932097408, 74521.509
7, 7, 0.7, 128.0, 600000.0, 4000.0, 395.0, 51.2661294, 7.10001542, 4000.0, 222.866473618, 1.46394603, 7.26812511001, 170352.704469, 400.0, 11856.0, 7520.0, 33146.5926536, 13092852.2789, 21805084.5693, 89157120.0, 0.0, 14.0, 3174933.91327, 0.235366559635, 81861.493
8, 8, 0.7, 256.0, 600000.0, 3900.0, 395.0, 51.2656037, 3.89603542, 3900.0, 255.11160313, 1.29009339, 7.26811094001, 182228.922281, 340.0, 12052.0, 9104.47009198, 33146.5926536, 13092852.2789, 46650458.2811, 109727073.549, 0.0, 15.0, 3612325.2197, 0.210020274161, 87963.57
9, 9, 0.7, 2.0, 60000.0, 4000.0, 395.0, 51.2646322, 78.4335348, 4000.0, 343.637766255, 4.0067732, 7.26763880001, 94441.2364515, 400.0, 11604.0, 2923.97447186, 33146.5926536, 13092852.2789, 188882.480688, 33929799.7714, 0.0, 8.0, 2450143.00395, 0.736337556283, 40952.136
10, 10, 0.7, 4.0, 60000.0, 4000.0, 395.0, 51.2662686, 61.6228064, 4000.0, 391.871309991, 3.60877767, 7.26810838001, 100665.384277, 300.0, 11908.0, 2436.0, 33146.5926536, 13092852.2789, 402661.139303, 29007888.0, 0.0, 8.0, 2569310.16247, 0.672092909785, 44303.876
11, 11, 0.7, 8.0, 60000.0, 4000.0, 395.0, 51.2663971, 45.6375047, 4000.0, 459.380904372, 3.11707476, 7.26814669001, 109732.101583, 300.0, 11916.0, 2780.0, 33146.5926536, 13092852.2789, 877855.624865, 33126480.0, 0.0, 9.0, 2675416.66834, 0.598656034548, 49087.931
12, 12, 0.7, 16.0, 60000.0, 4000.0, 395.0, 51.2663751, 31.5852207, 4000.0, 555.691566046, 2.590019, 7.26814790001, 122040.395625, 300.0, 11932.0, 3176.0, 33146.5926536, 13092852.2789, 1952643.30191, 37896032.0, 0.0, 10.0, 2838850.50328, 0.52026939222, 55511.365
13, 13, 0.7, 32.0, 60000.0, 4000.0, 395.0, 51.2663306, 20.407557, 4000.0, 693.609617724, 2.10964846, 7.26814329001, 137024.746158, 300.0, 11964.0, 3684.0, 33146.5926536, 13092852.2789, 4384784.50948, 44075376.0, 0.0, 11.0, 3002284.33822, 0.443475667656, 63309.448
14, 14, 0.7, 64.0, 60000.0, 4000.0, 395.0, 51.266291, 12.372514, 4000.0, 890.30969997, 1.73077079, 7.26813643001, 153054.167946, 300.0, 11628.0, 4703.04426117, 33146.5926536, 13092852.2789, 9795447.91066, 54686998.6689, 0.0, 13.0, 3223236.24162, 0.375026771579, 71669.444
15, 15, 0.7, 128.0, 60000.0, 4000.0, 395.0, 51.2661294, 7.10001542, 4000.0, 1161.95644916, 1.46394603, 7.26812511001, 168008.739422, 400.0, 11856.0, 7010.27040389, 33146.5926536, 13092852.2789, 21505061.4138, 83113765.9085, 0.0, 14.0, 3192602.43597, 0.318581415544, 79517.528
16, 16, 0.7, 256.0, 60000.0, 3900.0, 395.0, 51.2656037, 3.89603542, 3900.0, 1527.0896054, 1.29009339, 7.26811094001, 180383.213276, 340.0, 12052.0, 8600.0, 33146.5926536, 13092852.2789, 46177962.3637, 103647200.0, 0.0, 14.0, 3197019.56664, 0.271532438377, 86117.861
